w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[0.31958837],[0.68041163],[0.00863849],[0.98227725],[0.0114192],[0.00978216],[-0.95134624],[0.03463934],[-0.03342649],[1.0146845],[1.01299005]
[0.31340892],[0.68659108],[0.00170877],[0.98395574],[0.0113645],[0.00972616],[-0.97567312],[0.0288983],[-0.03736553],[1.01432265],[1.01242938]
[0.30897989],[0.69102011],[-0.00402013],[0.9800001],[0.01138804],[0.00967886],[-0.98783656],[0.02402317],[-0.04178275],[1.013921],[1.01180499]
[0.3212001],[0.6787999],[-0.00177063],[0.97826489],[0.01134092],[0.00962431],[-0.95319394],[0.01837103],[-0.04633363],[1.01350633],[1.01116108]
[0.36249706],[0.63750294],[-0.00483274],[0.97353718],[0.01139655],[0.00958262],[-0.82734878],[0.01403007],[-0.0514665],[1.01304433],[1.01044079]
[0.44235744],[0.55764256],[0.00272366],[0.97618877],[0.01135712],[0.00953188],[-0.63171308],[0.00872155],[-0.05605246],[1.0126209],[1.00978688]
[0.45962695],[0.54037305],[-0.01075668],[0.96568822],[0.01159278],[0.00954676],[-0.57287811],[0.01028086],[-0.06209983],[1.0120849],[1.00894726]
[0.48862833],[0.51137167],[0.008134],[0.97354313],[0.01167638],[0.00953189],[-0.50450614],[0.00872268],[-0.06678187],[1.01164734],[1.00827498]
[0.56899354],[0.43100646],[0.00412109],[0.97755519],[0.01164329],[0.00948806],[-0.35507676],[0.00411295],[-0.07071707],[1.01126254],[1.00769318]
[0.64802339],[0.35197661],[-0.00732746],[0.9703922],[0.01165957],[0.00946655],[-0.22362232],[0.00184336],[-0.0756344],[1.0108039],[1.00698854]
[0.79895737],[0.20104263],[-0.00114644],[0.9692797],[0.01159601],[0.00941436],[-0.01970711],[-0.00368416],[-0.08058227],[1.01034058],[1.006278]
[0.92090812],[0.07909188],[-0.00799541],[0.96152992],[0.01158003],[0.0093998],[0.12096605],[-0.00523278],[-0.08658345],[1.00979904],[1.00543689]
[1.12885663],[-0.12885663],[-0.00259556],[0.95903421],[0.01151982],[0.00935177],[0.31935322],[-0.01035481],[-0.09280258],[1.00923895],[1.0045668]
[1.19271843],[-0.19271843],[0.01080487],[0.96939645],[0.01150042],[0.00936894],[0.37269794],[-0.00852085],[-0.09724026],[1.00880179],[1.00390889]
[0.57706736],[0.42293264],[0.04011895],[1.00828762],[0.01196596],[0.01021679],[-0.31365103],[0.07811168],[-0.09550108],[1.00879618],[1.00399061]
[0.40818335],[0.59181665],[-0.00856803],[0.99964858],[0.01200273],[0.01020033],[-0.65682552],[0.07649892],[-0.09514325],[1.0086969],[1.00390976]
[0.34383018],[0.65616982],[-0.00478415],[0.99486611],[0.01200251],[0.01015729],[-0.82841276],[0.07227077],[-0.09553008],[1.00854759],[1.00374174]
[0.31713317],[0.68286683],[0.00128072],[0.99614025],[0.01194303],[0.01010348],[-0.91420638],[0.0669588],[-0.09569568],[1.00841435],[1.00360083]
[0.29459343],[0.70540657],[0.0101107],[1.00621192],[0.01231695],[0.01010355],[-0.95710319],[0.06696644],[-0.0942666],[1.00839083],[1.00364913]
[0.2893545],[0.7106455],[-0.00199818],[1.00420132],[0.01227386],[0.01005184],[-0.97855159],[0.06183448],[-0.09318044],[1.0083463],[1.00365932]
[0.28663394],[0.71336606],[-0.00296563],[1.00122324],[0.01225819],[0.01000321],[-0.9892758],[0.05698482],[-0.09258082],[1.00827099],[1.00361445]
[0.28488339],[0.71511661],[-0.0036309],[0.9975879],[0.01226756],[0.00995742],[-0.9946379],[0.05239718],[-0.09255927],[1.00815862],[1.00350367]
[0.27989207],[0.72010793],[-0.0067787],[0.99082555],[0.01245289],[0.00992942],[-0.99731895],[0.04958133],[-0.09359577],[1.0079772],[1.0032711]
[0.27991175],[0.72008825],[0.00310688],[0.99390392],[0.01243534],[0.00988267],[-0.99865947],[0.04486161],[-0.09410646],[1.00783063],[1.0030996]
[0.27871925],[0.72128075],[-0.00440508],[0.9895257],[0.01248017],[0.00984155],[-0.99932974],[0.040692],[-0.09528749],[1.00764092],[1.00285156]
[0.27282687],[0.72717313],[-0.0077763],[0.98183086],[0.01274544],[0.00982246],[-0.99966487],[0.03875108],[-0.09765071],[1.00737474],[1.00246818]
