P10,P50,P90
14.211400574759296,14.97561658840388,15.775578291798904
14.212513536332395,14.972874125613423,15.783562276360446
14.21344266065615,14.973239802376117,15.7814577500845
14.211331664385138,14.972439844179931,15.782844869944194
14.210718622514825,14.974185086842624,15.780051904367578
14.207170940070407,14.973317007125093,15.774210330293847
14.205566476256436,14.969085641156237,15.775576880732359
14.211596830319417,14.969142454346722,15.777888418238096
14.215201456274087,14.969592793647333,15.776167370342751
14.214070159822036,14.972712291455295,15.77196870205653
14.211045474538544,14.97344016284196,15.770406453829768
14.211842576603821,14.969972044050257,15.765676206680629
14.217493729209604,14.970467112086697,15.773303024525365
14.216311504217815,14.972097424886705,15.773090871012961
14.213883823053143,14.972201787886934,15.766786049500553
14.217433156887514,14.975067425222276,15.76700308249975
14.214868951411589,14.972866672733726,15.767535487731378
14.217079062220055,14.967526257041804,15.766748607216046
14.214776366703141,14.967355103804362,15.76551927106762
14.215175041298831,14.967239842336278,15.763118573032942
14.212790805329837,14.968149533436717,15.76349483813377
14.212371476875239,14.971348769476293,15.768522200738047
14.213690450151006,14.969675042285415,15.770555826279695
14.215219593920455,14.969468777782824,15.773906104196486
14.208619669434956,14.975211442785625,15.7689117569715
14.216308317977164,14.976532466362283,15.770660497696118
14.220669483288075,14.975148497039722,15.766701826408552
